category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
general_fund,231.4,218.6,227.8,226.5,115.3,72.6,77.5,259.5,329.0,436.1,148.3,118.9
grants_revenue,168.9,145.2,53.5,74.2,50.0,40.0,35.0,35.0,35.0,35.0,35.0,35.0
community_development,-13.2,-4.8,-8.8,-11.3,-9.2,-6.0,-9.0,-6.0,-6.0,-6.0,-6.0,-6.0
vehicle_rental_tax,5.7,6.3,4.3,4.7,5.2,5.7,6.1,6.5,6.9,7.4,5.1,5.6
other_funds,9.9,22.9,11.2,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
total_operating_funds,402.7,388.2,288.0,303.1,170.3,121.3,118.6,304.0,373.9,481.5,191.4,162.5
capital_improvement,66.6,61.0,57.8,46.6,38.6,210.6,202.6,194.6,186.6,178.6,170.6,162.6
industrial_commercial_dev,4.3,4.3,4.9,5.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
total_capital_funds,70.9,65.3,62.7,52.1,43.1,215.1,207.1,199.1,191.1,183.1,175.1,167.1
total_fund_equity,473.6,453.5,350.7,355.2,213.4,336.4,325.7,503.1,565.0,664.6,366.5,329.6
