category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
real_estate_tax,5.9,7.0,5.2,3.9,4.9,13.8,32.2,196.6,95.5,22.4,15.8,9.4
wage_earnings_net_profits,95.8,99.8,76.1,90.2,97.7,81.2,107.0,86.0,94.9,95.8,109.6,97.3
realty_transfer_tax,10.9,9.7,9.8,8.9,9.2,9.8,9.9,7.6,9.1,9.7,10.3,9.8
sales_tax,10.0,11.9,9.9,9.4,10.3,17.3,17.2,22.7,20.9,21.0,22.7,21.9
birt,5.0,8.1,8.5,8.5,-1.8,6.5,8.1,5.8,18.5,137.1,137.8,34.6
other_taxes,7.8,9.5,7.2,6.6,7.2,6.7,6.6,9.1,5.8,11.5,8.5,8.3
locally_generated_non_tax,18.4,19.8,16.7,18.0,20.7,24.9,23.4,20.4,23.9,19.5,21.7,29.3
total_other_govts,4.0,54.8,56.6,164.0,48.2,16.6,55.4,65.4,68.8,71.3,40.7,65.3
total_pica_other_govts,25.0,19.9,16.4,25.3,23.5,7.4,31.6,26.5,31.1,20.2,35.5,15.5
interfund_transfers,0.0,0.0,0.0,0.0,0.8,0.8,0.5,1.0,1.8,0.8,0.5,0.8
total_current_revenue,182.8,240.5,206.4,334.8,220.7,185.0,291.8,441.0,370.3,409.3,403.0,292.3
prior_year_revenue,14.5,84.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adjustments,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_cash_receipts,197.3,325.2,221.4,334.8,220.7,185.0,291.8,441.0,370.3,409.3,403.0,292.3
