category,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun
general_fund,677.1,696.4,747.4,602.0,564.8,515.8,543.5,861.9,485.1,675.6,724.1,653.1
grants_revenue,24.4,84.5,35.8,77.9,-14.3,-83.6,-41.2,-171.4,-185.4,-180.3,-179.0,-144.7
community_development,-4.5,-9.8,-7.6,-7.9,-4.1,-7.8,-9.6,-5.2,-4.7,-1.0,-0.4,-7.1
vehicle_rental_tax,5.8,6.4,0.1,0.6,1.2,1.7,2.1,4.1,4.4,4.9,5.3,6.0
hospital_assessment_fund,17.4,17.5,25.9,18.1,17.8,45.8,19.1,11.2,20.1,11.6,31.4,13.3
housing_trust_fund,35.5,35.6,36.7,36.1,36.5,36.6,56.5,56.8,57.2,57.5,58.4,57.5
other_funds,8.5,9.4,8.8,8.6,8.9,8.7,8.9,8.2,7.7,7.8,7.8,7.5
total_operating_funds,764.2,840.0,847.1,735.5,610.7,517.2,579.3,765.6,384.4,576.0,647.6,585.6
capital_improvement,174.4,158.1,152.1,136.7,132.2,116.3,102.0,89.5,77.0,64.5,52.0,39.5
industrial_commercial_dev,9.9,9.9,9.9,9.9,9.9,9.9,10.0,10.0,10.0,10.0,10.0,10.0
total_capital_funds,184.3,168.0,162.0,146.6,142.2,126.2,111.9,99.4,86.9,74.4,62.0,49.5
total_fund_equity,948.4,1008.0,1009.1,882.1,752.8,643.4,691.2,865.1,471.4,650.4,709.6,635.1
