department,sickness/injury,vacation/other,total
City Commissioners,11.8,13.5,25.2
Police: Civilian,6.6,13.5,20.2
Commerce: Aviation,6.7,11.1,17.8
Streets: Sanitation,8.8,8.9,17.7
Free Library,7.0,10.3,17.3
Police: Uniformed,9.8,7.2,17.0
Register of Wills,8.4,8.5,16.8
Office of Property Assessment,6.2,10.4,16.6
Prisons,6.6,9.4,16.0
Streets: all except Sanitation,7.1,8.9,15.9
Human Services,6.8,8.9,15.7
Public Property,8.0,7.7,15.7
Water,7.1,8.5,15.6
Law,6.7,8.3,15.0
Records,6.3,8.6,14.9
Public Health,6.0,8.8,14.9
Parks and Recreation,6.2,8.4,14.6
Sheriff's Office,6.2,8.4,14.5
Office of Homeless Services,6.3,8.2,14.5
Fire: Civilian,6.3,8.0,14.3
Median,6.2,8.0,14.0
Procurement,5.0,9.1,14.0
Office of Behavioral Health and Intellectual disAbility,6.0,8.0,14.0
Finance,5.2,8.5,13.7
Managing Director's Office,6.4,7.1,13.5
Planning & Development,4.9,8.2,13.2
Fire: Uniformed,7.2,5.7,12.9
Fleet Management,5.8,7.0,12.9
Revenue,5.6,7.2,12.8
Auditing,4.2,7.7,11.9
Chief Administrative Officer,6.1,5.9,11.9
Licenses and Inspections,5.5,5.9,11.4
Office of Innovation and Technology,4.2,6.7,10.9
Mayor's Office of Community Empowerment & Opportunity,4.4,6.5,10.9
Office of Human Resources,3.7,7.1,10.8
Mayor's Office,5.8,3.7,9.5
District Attorney,3.1,6.2,9.3
Mayor's Office of Education,3.8,5.4,9.1
Pensions,4.0,5.0,9.0
City Council,2.8,2.6,5.4
Commerce: excluding Aviation,1.3,2.5,3.8
Commission on Human Relations,0.3,1.8,2.1
