DEPARTMENT,FY 2018 ACTUAL,ORIGINAL ADOPTED BUDGET,TARGET BUDGET,CURRENT PROJECTION,CURRENT PROJECTION (OVER) UNDER ADOPTED BUDGET,TARGET
Art Museum Subsidy,2550500,2550000,2550000,2550000,0,0
Atwater Kent Museum,306771,250000,250000,250000,0,0
Auditing (City Controller's Office),8762254,8893008,9209745,9209745,-316737,0
Board of Ethics,974344,1074792,1098971,1098971,-24179,0
Board of Revision of Taxes,952531,1046903,1071422,1071422,-24519,0
City Commissioners (Election Board),10124526,10351881,15928677,15928677,-5576796,0
City Council,16959076,17225693,17807973,17807973,-582280,0
City Planning Commission,0,0,0,0,0,0
City Representative,1116837,1158249,1223288,1223288,-65039,0
City Treasurer,1177474,1692315,1725724,1725724,-33409,0
Civil Service Commission (1),193463,16645428,201591,201591,16443837,0
Commerce,5581442,6013658,7415783,7415783,-1402125,0
Commerce-Convention Center Subsidy,15000000,15000000,15000000,15000000,0,0
Commerce-Economic Stimulus,2854448,2397004,1242883,1242883,1154121,0
District Attorney,35520200,41792293,41832195,41832195,-39902,0
Finance,44263571,24790260,71892419,71892419,-47102159,0
Finance-Budget Stabilization Reserve,0,0,0,0,0,0
Finance-Disability-Reg #32 Payroll,2556892,2650000,2650000,2650000,0,0
Finance-Federal Grant Reserve,0,53573000,53573000,53573000,0,0
Finance-Community College Subsidy,30409207,32409207,32409207,32409207,0,0
Finance - Employee Benefits,1314021386,1360238207,1377964739,1377964739,-17726532,0
Unemployment Compensation,3492886,4080260,4080260,4080260,0,0
Employee Disability,56011219,61799849,61799849,61799849,0,0
Pension Obligation Bonds,110159328,110077649,110077649,110077649,0,0
Pension,607875436,561418620,561418620,561418620,0,0
Pension-Sales Tax,24202319,48262124,47577983,47577983,684141,0
Pension-Plan 10,201237,0,0,0,0,0
FICA,80441125,78631100,78631100,78631100,0,0
Flex Cash Payments,645989,800000,800000,800000,0,0
Health / Medical,418230169,481764702,500175375,500175375,-18410673,0
Group Life Insurance,7782681,8407794,8407794,8407794,0,0
Group Legal,4769947,4849842,4849842,4849842,0,0
Tool Allowance,209050,146267,146267,146267,0,0
Finance-Hero Scholarship Awards,2000,25000,25000,25000,0,0
Finance-Indemnities,0,48780000,48780000,48780000,0,0
